Orchard and Russel,-121.7642,38.5437
Veihmeyer Corner,-121.7529,38.5426
Toomey Field,-121.748,38.5446
Aussie Sign Arboretum,-121.7423,38.5402
Art Building Corner,-121.748,38.5393
In Between Surge II and III,-121.7549,38.5391
Football Scoreboard,-121.7628,38.5358
VetMed StopSign,-121.7608,38.5324
Academic Surge,-121.7536,38.5354
Welcome Center,-121.7478,38.5342
